iter	Passed	Remaining
304	2527	63780
305	2535	63756
306	2541	63696
307	2555	63825
308	2561	63748
309	2570	63765
310	2576	63690
311	2581	63609
312	2589	63592
313	2594	63514
314	2604	63548
315	2610	63474
316	2619	63492
317	2624	63410
318	2629	63316
319	2638	63319
320	2643	63231
321	2653	63270
322	2658	63182
323	2665	63156
324	2671	63092
325	2676	63000
326	2687	63068
327	2694	63022
328	2703	63043
329	2709	62971
330	2720	63038
331	2726	62974
332	2735	62979
333	2741	62919
334	2751	62946
335	2756	62863
336	2764	62872
337	2769	62791
338	2774	62711
339	2783	62715
340	2789	62644
341	2799	62676
342	2804	62600
343	2812	62600
344	2818	62530
345	2822	62448
346	2832	62477
347	2837	62396
348	2846	62411
349	2851	62334
350	2857	62266
351	2865	62265
352	2870	62184
353	2880	62216
354	2885	62146
355	2894	62153
356	2899	62081
357	2904	62003
358	2915	62050
359	2920	61972
360	2929	61993
361	2934	61918
362	2943	61918
363	2948	61859
364	2953	61780
365	2965	61845
366	2972	61822
367	2981	61836
368	2986	61760
369	2995	61768
370	3000	61705
371	3009	61708
372	3016	61676
373	3028	61753
374	3035	61724
375	3050	61845
376	3063	61938
377	3078	62077
378	3098	62298
379	3116	62503
380	3141	62821
381	3173	63282
382	3183	63305
383	3193	63341
384	3200	63294
385	3210	63327
386	3224	63439
387	3236	63501
388	3244	63485
389	3249	63407
390	3258	63418
391	3265	63373
392	3277	63440
393	3289	63503
394	3296	63470
395	3309	63558
396	3318	63550
397	3328	63574
398	3339	63621
399	3346	63586
400	3358	63649
401	3367	63649
402	3376	63642
403	3388	63709
404	3395	63682
405	3409	63770
406	3419	63790
407	3425	63743
408	3445	63948
409	3457	64014
410	3467	64018
411	3476	64027
412	3488	64082
413	3493	64005
414	3502	64012
415	3509	63985
416	3523	64079
